timestamp,fitness_discipline,title,duration,instructor,calories,distance
2021-08-03 20:36:14+00:00,running,20 min HIIT Run,1200,Becs Gentry,219,2.28
2021-08-02 18:03:24+00:00,running,30 min J Balvin Run,1800,Robin Arzón,315,3.28
2021-08-01 15:44:11+00:00,running,45 min Endurance Run,2700,Becs Gentry,420,4.92
2021-07-30 17:12:49+00:00,running,30 min Tropical House Run,1800,Selena Samuela,334,3.28
2021-07-29 13:21:49+00:00,running,30 min Intervals Run,1800,Becs Gentry,346,3.39
2021-07-22 18:59:52+00:00,running,20 min Intervals Run,1200,Chase Tucker,61,0.66
2021-07-21 18:48:26+00:00,running,45 min Endurance Run,2700,Matt Wilpers,542,5.17
2021-07-19 19:36:36+00:00,running,45 min HIIT & Hills Run,2700,Becs Gentry,504,5.06
2021-07-16 18:04:16+00:00,running,20 min HIIT Run,1200,Robin Arzón,212,2.3
2021-07-15 18:24:17+00:00,running,30 min Intervals Run,1800,Olivia Amato,326,3.43
2021-07-13 14:11:48+00:00,running,60 min Endurance Run,3600,Becs Gentry,697,6.87
2021-07-11 17:28:00+00:00,running,30 min Progression Run,1800,Becs Gentry,73,0.18
2021-07-11 16:53:59+00:00,running,30 min Progression Run,1800,Becs Gentry,355,3.09
2021-07-09 14:26:08+00:00,running,20 min HIIT Run,1200,Olivia Amato,216,2.25
2021-07-07 19:29:38+00:00,running,30 min Pop Run,1800,Becs Gentry,324,3.24
2021-07-06 18:39:12+00:00,running,20 min House Run,1200,Selena Samuela,221,2.09
2021-07-05 22:28:42+00:00,running,15 min Recovery Run,900,Becs Gentry,120,1.38
2021-07-05 14:28:54+00:00,running,20 min Pop Run,1200,Becs Gentry,196,2.24
2021-07-04 15:08:01+00:00,running,30 min HIIT & Hills Run,1800,Becs Gentry,304,3.48
2021-07-02 14:49:25+00:00,running,30 min Latin Run,1800,Chase Tucker,307,3.42
2021-07-01 15:35:44+00:00,running,30 min Intervals Run,1800,Becs Gentry,322,3.59
2021-06-30 14:25:48+00:00,running,45 min Intervals Run,2700,Becs Gentry,468,5.11
2021-06-30 03:20:10+00:00,walking,20 min Pop Walk,1200,Olivia Amato,100,1.04
2021-06-28 13:46:30+00:00,running,30 min Progression Run,1800,Selena Samuela,318,3.61
